Site,Date,UpperDepth,LowerDepth,Variable,Value,Unit,MethodID
Giles,5/9/1994,5,5,temp,12.8,DegreesCelsius,Method002
Giles,1/26/1990,2,2,temp,4.1,DegreesCelsius,Method002
Giles,6/1/1992,9,9,temp,8.3,DegreesCelsius,Method002
Lacawac,7/28/2018,12,12,temp,6.2,DegreesCelsius,Method144
Giles,10/16/2009,21,21,temp,6.5,DegreesCelsius,Method002
Giles,1/25/1992,14,14,temp,1.9,DegreesCelsius,Method002
Waynewood,8/7/1996,7,7,temp,9,DegreesCelsius,Method002
Lacawac,11/20/1992,6,6,temp,4.9,DegreesCelsius,Method002
Lacawac,9/3/1990,1,1,temp,23.7,DegreesCelsius,Method002
Giles,5/19/2009,1,1,temp,14.4,DegreesCelsius,Method002
Lacawac,7/30/2018,0,0,temp,25.4,DegreesCelsius,Method144
Waynewood,7/20/1993,7,7,temp,8,DegreesCelsius,Method002
Lacawac,7/22/2016,3,3,temp,25.6,DegreesCelsius,Method144
Giles,5/13/2012,6,6,temp,12.2,DegreesCelsius,Method002
Waynewood,8/25/1992,11,11,temp,6.6,DegreesCelsius,Method002
Giles,8/13/2018,10,10,temp,10.3,DegreesCelsius,Method144
Waynewood,6/17/1992,7,7,temp,5.9,DegreesCelsius,Method002
Waynewood,9/14/1990,12,12,temp,8.1,DegreesCelsius,Method002
Giles,3/22/1993,15,15,temp,4.1,DegreesCelsius,Method002
Lacawac,4/12/1996,0,0,temp,6.7,DegreesCelsius,Method002
Waynewood,11/16/1993,6,6,temp,6.6,DegreesCelsius,Method002
Giles,8/12/1991,19,19,temp,8.3,DegreesCelsius,Method002
Giles,6/6/2018,18,18,temp,5.4,DegreesCelsius,Method144
Waynewood,1/20/1993,2,2,temp,3.6,DegreesCelsius,Method002
Lacawac,7/20/1993,2,2,temp,24.5,DegreesCelsius,Method002
Giles,8/12/1991,17,17,temp,9.2,DegreesCelsius,Method002
Waynewood,11/20/1997,8,8,temp,5.2,DegreesCelsius,Method002
Giles,11/19/1992,21,21,temp,7.4,DegreesCelsius,Method002
Waynewood,6/15/2015,8,8,temp,6.5,DegreesCelsius,Method002
Lacawac,8/26/1992,2,2,temp,22.3,DegreesCelsius,Method002
Lacawac,5/8/1996,9,9,temp,6.5,DegreesCelsius,Method002
Waynewood,11/12/1996,3,3,temp,8,DegreesCelsius,Method002
Lacawac,7/27/2015,9,9,temp,6.3,DegreesCelsius,Method002
Giles,5/17/2010,20,20,temp,4.9,DegreesCelsius,Method002
Giles,5/25/1994,6,6,temp,13.6,DegreesCelsius,Method002
Giles,7/15/2016,16,16,temp,7.4,DegreesCelsius,Method002
Giles,6/14/2016,1,1,temp,18.4,DegreesCelsius,Method002
Giles,7/15/2013,16,16,temp,5.9,DegreesCelsius,Method002
Giles,6/14/2016,8,8,temp,12.7,DegreesCelsius,Method002
Waynewood,1/24/1992,12,12,temp,3.1,DegreesCelsius,Method002
Giles,7/26/1995,2,2,temp,25,DegreesCelsius,Method002
Giles,12/13/1990,15,15,temp,4.8,DegreesCelsius,Method002
Lacawac,6/28/1988,8,8,temp,6,DegreesCelsius,Method002
Giles,7/13/2018,19,19,temp,5.5,DegreesCelsius,Method144
Giles,4/17/2006,13,13,temp,5.7,DegreesCelsius,Method002
Waynewood,7/20/1993,6,6,temp,9.8,DegreesCelsius,Method002
Giles,5/19/2009,20,20,temp,6.2,DegreesCelsius,Method002
